SNo.,University Name,Country,City,International Ranking,GRE Requried,Link
1,University of British Columbia,Canada,"Vancouver, British Columbia",#14,,http://you.ubc.ca/
2,University of Waterloo,Canada,"Waterloo, Ontario",#20,,http://uwaterloo.ca/
3,University of Toronto,Canada,"Toronto, Ontario",#31,,http://www.utoronto.ca
4,University of Alberta,Canada,"Edmonton, Alberta",#75,,http://www.ualberta.ca/
5,Carleton University,Canada,"Ottowa, ON",#114,,http://carleton.ca/
6,McGill University,Canada,"Montréal, Québec",#127,,http://www.mcgill.ca/
7,University of Montreal,Canada,"Montréal, Québec",#144,,http://www.umontreal.ca/english/ 
8,University of Ottawa,Canada,"Ottawa, Ontario",#176,,http://www.uottawa.ca/welcome.html
9,Concordia University,Canada,"Montréal, Québec",#189,,http://www.concordia.ca/
10,Western University,Canada,"London, Ontario",#204,,http://welcome.uwo.ca/
11,University of Victoria,Canada,"Victoria, British Columbia",#240,,http://www.uvic.ca/
12,Simon Fraser University,Canada,"Burnaby, British Columbia",#244,,http://www.sfu.ca
