SNo.,University Name,City,International Ranking,GRE Required,Link
1,University of Toronto,"Toronto, Ontario",#1,,http://www.utoronto.ca
2,University of British Columbia,"Vancouver, British Columbia",#2,,http://you.ubc.ca/
3,McGill University,"Montréal, Québec",#3,,http://www.mcgill.ca/
4,McMaster University,"Hamilton, Ontario",#4,,http://www.mcmaster.ca/ 
5,University of Alberta,"Edmonton, Alberta",#5,,http://www.ualberta.ca/
6,University of Montreal,"Montréal, Québec",#5,,http://www.umontreal.ca/english/ 
7,University of Calgary,"Calgary, Alberta",#7,,http://www.ucalgary.ca/
8,University of Ottawa,"Ottawa, Ontario",#8,,http://www.uottawa.ca/welcome.html
9,University of Waterloo,"Waterloo, Ontario",#9,,http://uwaterloo.ca/
10,University of Victoria,"Victoria, British Columbia",#10,,http://www.uvic.ca/
11,Western University,"London, Ontario",#11,,http://welcome.uwo.ca/
12,Simon Fraser University,"Burnaby, British Columbia",#12,,http://www.sfu.ca
13,Laval University,"Québec City, Québec",#13,,http://www2.ulaval.ca/en/home.html
14,Dalhousie University,"Halifax, Nova Scotia",#14,,http://www.dal.ca/
15,Queen's University,"Kingston, Ontario",#15,,http://www.queensu.ca/ 
16,University of Manitoba,"Winnipeg, Manitoba",#16,,http://umanitoba.ca/ 
17,York University,"Toronto, Ontario",#17,,http://www.yorku.ca/web/
18,University of Guelph,"Guelph, Ontario",#18,,http://www.uoguelph.ca/
19,Carleton University,"Ottowa, ON",#19,,http://carleton.ca/
20,University of Saskatchewan,"Saskatoon, Saskatchewan",#20,,http://explore.usask.ca
21,Université du Québec à Montréal,"Montréal, Québec",#21,,http://www.uqam.ca/
22,Memorial University of Newfoundland,"St. John's, NL",#22,,http://www.mun.ca/
23,Concordia University,"Montréal, Québec",#23,,http://www.concordia.ca/
24,University of Sherbrooke,"Sherbrooke, Québec",#24,,http://www.usherbrooke.ca/
25,Ryerson University,"Toronto, Ontario",#25,,http://www.ryerson.ca/index.html
26,University of New Brunswick,"Fredericton, NB",#26,,http://www.unb.ca/
27,University of Windsor,"Windsor, ON",#27,,http://www.uwindsor.ca/
28,University of Regina,"Regina, SK",#28,,http://www.uregina.ca/
29,University of Ontario Institute Technology,"Oshawa, ON",#29,,http://www.uoit.ca/
30,Brock University,"St. Catharines, ON",#30,,http://www.brocku.ca/
31,Lakehead University,Thunder Bay,#31,,http://www.lakeheadu.ca
32,Wilfrid Laurier University,"Waterloo, Ontario",#32,,http://www.wlu.ca/
33,Ecole de Technologie Superieure - Canada,Montreal,#33,,http://www.etsmtl.ca/
34,Laurentian University,"Sudbury, ON",#34,,https://laurentian.ca/
35,Trent University,"Peterborough, Ontario",#35,,http://www.trentu.ca/
36,University of Lethbridge,"Lethbridge, AB",#36,,http://www.uleth.ca/
37,Krembil Reseach Institute,"Toronto, Ontario",-,,https://www.uhn.ca/Research/Research_Institutes/Krembil
38,Royal Military College - Canada,"Kingston, Ontario",-,,http://www.rmcc-cmrc.ca/en
39,University of Prince Edward Island,"Charlottetown, PE",-,,http://upei.ca/
