SNo.,University Name,Country,City,International Ranking,Link
1,Nanyang Technological University,Singapore, ,#2,https://www.usnews.com/education/best-global-universities/nanyang-technological-university-503366
2,National University of Singapore,Singapore, ,#4,https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
3,Swiss Federal Institute of Technology Zurich,Switzerland,Zurich,#12,https://www.usnews.com/education/best-global-universities/swiss-federal-institute-of-technology-zurich-502241
4,University of British Columbia,Canada,"Vancouver, British Columbia",#14,https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976
5,University of Waterloo,Canada,"Waterloo, Ontario",#20,https://www.usnews.com/education/best-global-universities/university-of-waterloo-499966
6,University of Technology Sydney,Australia,"Ultimo, New South Wales",#25,https://www.usnews.com/education/best-global-universities/university-of-technology-sydney-505153
7,University of New South Wales,Australia,"Kensington, New South Wales",#30,https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-502434
8,University of Toronto,Canada,"Toronto, Ontario",#31,https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
9,University College London,United Kingdom,London,#32,https://www.usnews.com/education/best-global-universities/university-college-london-501693
10,University of Adelaide,Australia,"Adelaide, South Australia",#35,https://www.usnews.com/education/best-global-universities/university-of-adelaide-504015
11,Imperial College London,United Kingdom,London,#36,https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
12,University of Granada,Spain,"Granada, Granada",#38,https://www.usnews.com/education/best-global-universities/university-of-granada-505316
13,University of Sydney,Australia,"Sydney, New South Wales",#41,https://www.usnews.com/education/best-global-universities/university-of-sydney-505369
14,Australian National University,Australia,"Canberra, Australian Capital Territory",#42,https://www.usnews.com/education/best-global-universities/australian-national-university-503825
15,Technical University of Munich,Germany,Munich,#43,https://www.usnews.com/education/best-global-universities/technical-university-of-munich-503109
16,École Polytechnique Federale of Lausanne,Switzerland,Lausanne,#45,https://www.usnews.com/education/best-global-universities/ecole-polytechnique-federale-of-lausanne-501629
17,CentraleSupelec,France,Chatenay-Malabry,#46,https://www.usnews.com/education/best-global-universities/centralesupelec-528928
18,Royal Institute of Technology,Sweden,Stockholm,#48,https://www.usnews.com/education/best-global-universities/royal-institute-of-technology-505970
19,University of Melbourne,Australia,"Parkville, Victoria",#49,https://www.usnews.com/education/best-global-universities/university-of-melbourne-501796
20,Singapore University of Technology & Design,Singapore, ,#51,https://www.usnews.com/education/best-global-universities/singapore-university-of-technology-design-529432
21,Polytechnic University of Catalonia,Spain,Barcelona,#53,https://www.usnews.com/education/best-global-universities/polytechnic-university-of-catalonia-501701
22,Linköping University,Sweden,Linköping,#60,https://www.usnews.com/education/best-global-universities/linkoping-university-503497
23,Delft University of Technology,Netherlands,Delft,#61,https://www.usnews.com/education/best-global-universities/delft-university-of-technology-505496
